pagina,endereco,preco,area,quartos,banheiros,vagas,tipo,area_m2,preco_venda,qtd_quartos,qtd_vagas,preco_m2
1,"Lote/Terreno para comprar com 10435 m² em
Jardim Esperança, Jacareí",R$ 10.000.000 IPTU R$ 1.704,"Tamanho do imóvel
10435 m²",,,,Terreno,10435.0,10000000.0,,,958.3133684714902
1,"Lote/Terreno para comprar com 335 m² em
Jardim Califórnia, Jacareí",R$ 280.000 IPTU R$ 60,"Tamanho do imóvel
335 m²",,,,Terreno,335.0,280000.0,,,835.820895522388
1,"Lote/Terreno para comprar com 1000 m² em
Da Cerejeira, Jacareí",R$ 100.000,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,100000.0,,,100.0
1,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 245.000 Cond. R$ 1,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,245000.0,,,49.0
1,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 119.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,119990.0,,,119.99
1,"Lote/Terreno para comprar com 5612 m² em
Chácaras Rurais Guararema, Jacareí",R$ 535.000,"Tamanho do imóvel
5612 m²",,,,Terreno,5612.0,535000.0,,,95.33143264433357
1,"Lote/Terreno para comprar com 1005 m² em
Centro, Jacareí",R$ 140.000 Cond. R$ 80,"Tamanho do imóvel
1005 m²",,,,Terreno,1005.0,140000.0,,,139.30348258706468
1,"Lote/Terreno para comprar com 1000 m² em
Jardim Primavera, Jacareí",R$ 99.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99990.0,,,99.99
1,"Lote/Terreno para comprar com 1000 m² em
Jardim Alvorada, Jacareí",R$ 99.999 Cond. R$ 200 • IPTU R$ 200,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99999.0,,,99.999
1,"Lote/Terreno para comprar com 2268 m², 1 quarto, 1 banheiro, 1 vaga em
Chácaras Reunidas Igarapés, Jacareí",R$ 820.000,"Tamanho do imóvel
2268 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",Terreno,2268.0,820000.0,1.0,1.0,361.5520282186949
1,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 242.000,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
1,"Lote/Terreno para comprar com 1185 m² em
Estância Porto Velho, Jacareí",R$ 215.000 IPTU R$ 191,"Tamanho do imóvel
1185 m²",,,,Terreno,1185.0,215000.0,,,181.43459915611814
1,"Lote/Terreno para comprar com 438 m² em
Jardim Bela Vista, Jacareí",R$ 225.000 IPTU R$ 776,"Tamanho do imóvel
438 m²",,,,Terreno,438.0,225000.0,,,513.6986301369863
2,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
2,"Lote/Terreno para comprar com 1000 m² em
Jardim Colônia, Jacareí",R$ 99.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99990.0,,,99.99
2,"Lote/Terreno para comprar com 1050 m² em
Chácara Itapoã, Jacareí",R$ 130.000,"Tamanho do imóvel
1050 m²",,,,Terreno,1050.0,130000.0,,,123.80952380952381
2,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
2,"Lote/Terreno para comprar com 334 m² em
Residencial Santa Paula, Jacareí",R$ 350.000,"Tamanho do imóvel
334 m²",,,,Terreno,334.0,350000.0,,,1047.9041916167664
2,"Lote/Terreno para comprar com 137 m² em
Jardim Pitoresco, Jacareí",R$ 92.000,"Tamanho do imóvel
137 m²",,,,Terreno,137.0,92000.0,,,671.5328467153284
2,"Lote/Terreno para comprar com 315 m² em
Condomínio Vem Viver Jacareí, Jacareí",R$ 525.000 Cond. R$ 438 • IPTU R$ 1.500,"Tamanho do imóvel
315 m²",,,,Terreno,315.0,525000.0,,,1666.6666666666667
2,"Lote/Terreno para comprar com 150 m² em
Centro, Jacareí",R$ 119.000,"Tamanho do imóvel
150 m²",,,,Terreno,150.0,119000.0,,,793.3333333333334
2,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 99.980 Cond. R$ 120 • IPTU R$ 4,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99980.0,,,99.98
2,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
2,"Lote/Terreno para comprar com 5000 m² em
Vila Nova Aliança, Jacareí",R$ 240.000 IPTU R$ 200,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,240000.0,,,48.0
2,"Lote/Terreno para comprar com 1630 m² em
Veraneio Ijal, Jacareí",R$ 140.000 IPTU R$ 241,"Tamanho do imóvel
1630 m²",,,,Terreno,1630.0,140000.0,,,85.88957055214723
2,"Lote/Terreno para comprar com 1000 m² em
Jardim Marcondes, Jacareí",R$ 99.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99990.0,,,99.99
3,"Lote/Terreno para comprar com 270 m² em
Jardim Residencial Golden Park, Jacareí",R$ 375.000 Cond. R$ 500 • IPTU R$ 800,"Tamanho do imóvel
270 m²",,,,Terreno,270.0,375000.0,,,1388.888888888889
3,"Lote/Terreno para comprar com 1400 m² em
Veraneio Ijal, Jacareí",R$ 165.000,"Tamanho do imóvel
1400 m²",,,,Terreno,1400.0,165000.0,,,117.85714285714286
3,"Lote/Terreno para comprar com 250 m² em
Jardim do Vale, Jacareí",R$ 180.000 IPTU R$ 676,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,180000.0,,,720.0
3,"Lote/Terreno para comprar com 277 m² em
Bandeira Branca, Jacareí",R$ 320.000 Cond. R$ 380 • IPTU R$ 1.080,"Tamanho do imóvel
277 m²",,,,Terreno,277.0,320000.0,,,1155.2346570397112
3,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
3,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 69.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,69990.0,,,116.65
3,"Lote/Terreno para comprar com 600 m² em
Chácaras Reunidas Igarapés, Jacareí",R$ 79.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79990.0,,,133.31666666666666
3,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
4,"Lote/Terreno para comprar com 250 m² em
Loteamento Villa Branca, Jacareí",R$ 550.000,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,550000.0,,,2200.0
4,"Lote/Terreno para comprar com 250 m² em
Loteamento Villa Branca, Jacareí",R$ 430.000 IPTU R$ 100,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,430000.0,,,1720.0
4,"Lote/Terreno para comprar com 1000 m² em
Cidade Nova Jacareí, Jacareí",R$ 99.999 Cond. R$ 200 • IPTU R$ 200,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99999.0,,,99.999
4,"Lote/Terreno para comprar com 479 m² em
Jardim Terras de Santa Helena, Jacareí",R$ 230.000,"Tamanho do imóvel
479 m²",,,,Terreno,479.0,230000.0,,,480.1670146137787
4,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
4,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 99.900 Cond. R$ 150 • IPTU R$ 4,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99900.0,,,99.9
5,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.980,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79980.0,,,133.3
5,"Lote/Terreno para comprar com 224 m² em
Residencial Parque dos Sinos, Jacareí",R$ 280.000,"Tamanho do imóvel
224 m²",,,,Terreno,224.0,280000.0,,,1250.0
5,"Lote/Terreno para comprar com 320 m², 5 vagas em
Jardim Terras de São João, Jacareí",R$ 300.000 IPTU R$ 280,"Tamanho do imóvel
320 m²",,,"Quantidade de vagas de garagem
5",Terreno,320.0,300000.0,,5.0,937.5
5,"Lote/Terreno para comprar com 62312 m² em
Parateí do Meio, Jacareí",R$ 19.000.000 IPTU R$ 5.300,"Tamanho do imóvel
62312 m²",,,,Terreno,62312.0,19000000.0,,,304.91719091025806
5,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.990,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79990.0,,,133.31666666666666
5,"Lote/Terreno para comprar com 1000 m² em
Centro, Jacareí",R$ 100.000 Cond. R$ 170 • IPTU R$ 4,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,100000.0,,,100.0
5,"Lote/Terreno para comprar com 0 m² em
Parque dos Príncipes, Jacareí",R$ 100.000,"Tamanho do imóvel
0 m²",,,,Terreno,0.0,100000.0,,,inf
5,"Lote/Terreno para comprar com 175 m² em
Residencial Parque dos Sinos, Jacareí",R$ 182.000,"Tamanho do imóvel
175 m²",,,,Terreno,175.0,182000.0,,,1040.0
5,"Lote/Terreno para comprar com 5000 m² em
Centro, Jacareí",R$ 242.000,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
5,"Lote/Terreno para comprar com 312 m² em
Loteamento Villa Branca, Jacareí",R$ 479.000,"Tamanho do imóvel
312 m²",,,,Terreno,312.0,479000.0,,,1535.2564102564102
6,"Lote/Terreno para comprar com 1000 m² em
Jardim das Indústrias, Jacareí",R$ 99.990,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,99990.0,,,99.99
6,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
6,"Lote/Terreno para comprar com 472 m² em
Jardim Bela Vista, Jacareí",R$ 225.000 IPTU R$ 817,"Tamanho do imóvel
472 m²",,,,Terreno,472.0,225000.0,,,476.6949152542373
6,"Lote/Terreno para comprar com 140 m² em
Parque dos Príncipes, Jacareí",R$ 120.000 IPTU R$ 450,"Tamanho do imóvel
140 m²",,,,Terreno,140.0,120000.0,,,857.1428571428571
6,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
6,"Lote/Terreno para comprar com 920 m² em
Jardim Olympia, Jacareí",R$ 210.000,"Tamanho do imóvel
920 m²",,,,Terreno,920.0,210000.0,,,228.2608695652174
7,"Lote/Terreno para comprar com 600 m² em
Centro, Jacareí",R$ 79.999,"Tamanho do imóvel
600 m²",,,,Terreno,600.0,79999.0,,,133.33166666666668
7,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
7,"Lote/Terreno para comprar com 1000 m² em
Vila Nova Aliança, Jacareí",R$ 100.000 Cond. R$ 100 • IPTU R$ 200,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,100000.0,,,100.0
7,"Lote/Terreno para comprar com 1000 m² em
Jardim Colônia, Jacareí",R$ 122.500 Cond. R$ 100,"Tamanho do imóvel
1000 m²",,,,Terreno,1000.0,122500.0,,,122.5
8,"Lote/Terreno para comprar com 250 m² em
Condomínio Vem Viver Jacareí, Jacareí",R$ 420.000 Cond. R$ 400,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,420000.0,,,1680.0
8,"Lote/Terreno para comprar com 300 m² em
Jardim Santa Maria, Jacareí",R$ 330.000,"Tamanho do imóvel
300 m²",,,,Terreno,300.0,330000.0,,,1100.0
8,"Lote/Terreno para comprar com 250 m² em
Jardim Residencial Golden Park, Jacareí",R$ 372.000,"Tamanho do imóvel
250 m²",,,,Terreno,250.0,372000.0,,,1488.0
8,"Lote/Terreno para comprar com 5000 m² em
Bandeira Branca, Jacareí",R$ 242.000 Cond. R$ 100,"Tamanho do imóvel
5000 m²",,,,Terreno,5000.0,242000.0,,,48.4
8,"Lote/Terreno para comprar com 1100 m² em
Veraneio Ijal, Jacareí",R$ 205.000,"Tamanho do imóvel
1100 m²",,,,Terreno,1100.0,205000.0,,,186.36363636363637
